asset_id,complaint_count,average_complaint_severity,recent_complaints,inspection_count,average_condition_score,maintenance_count,recent_maintenance,total_maintenance_cost,incident_count,unresolved_incidents,resolved_incidents,rule_based_risk
SG-042,3,2.94,4,2,42.39,1,1,259480,1,0,1,43.27
SG-042,4,4.21,3,2,61.74,1,1,223878,2,1,1,64.53
SG-042,3,3.19,4,1,54.57,2,2,297246,1,1,0,61.88
SG-042,6,3.39,2,0,62.93,3,1,230455,0,0,0,49.24
SG-042,4,4.05,2,1,58.93,2,2,289387,2,1,1,72.42
SG-042,3,4.11,2,1,54.24,1,1,359820,0,0,0,39.81
SG-042,1,3.44,3,1,63.69,3,1,251386,2,1,1,63.51
SG-042,1,2.88,2,1,59.14,3,1,285783,2,1,1,62.07
SG-042,4,3.21,3,1,48.43,2,1,277692,1,1,0,61.0
SG-042,4,3.6,3,1,44.5,1,0,221753,1,0,1,43.42
SG-042,3,4.58,3,2,50.53,2,0,258218,2,0,2,54.53
SG-042,4,3.84,2,0,58.58,1,1,278211,3,1,2,71.33
SG-042,2,3.8,3,2,64.68,2,2,211143,0,0,0,42.62
SG-042,3,2.71,4,1,46.23,1,1,323432,3,3,0,65.54
SG-042,3,2.98,1,1,51.5,2,0,269200,2,1,1,59.62
SG-042,3,2.95,1,1,57.57,4,1,331444,1,0,1,52.28
SG-042,2,3.16,5,0,64.71,1,2,298326,1,1,0,56.87
SG-042,2,3.98,3,0,47.78,2,3,285864,1,1,0,68.32
SG-042,5,3.82,3,2,61.43,4,1,209164,0,0,0,52.76
SG-042,5,3.54,3,2,49.14,1,2,255139,1,1,0,64.04
SG-042,3,4.66,3,2,41.6,2,0,209478,0,0,0,44.65
SG-042,4,2.74,3,1,55.38,3,2,351092,1,1,0,65.63
SG-042,3,3.84,3,0,58.72,2,4,380977,0,0,0,51.53
SG-042,1,3.26,3,2,52.17,1,0,267988,0,0,0,29.06
SG-042,2,3.6,1,0,75.03,1,0,378765,4,0,4,56.72
SG-042,3,3.91,5,0,56.04,3,1,256161,1,0,1,53.82
SG-042,3,3.48,3,1,61.77,3,1,296487,1,1,0,61.66
SG-042,2,3.89,3,3,70.59,2,0,215372,2,1,1,57.82
SG-042,4,2.45,4,1,49.12,2,1,279907,1,1,0,57.67
SG-042,3,3.78,4,0,56.11,2,1,256396,0,0,0,43.28
SG-042,5,2.6,4,1,57.51,1,1,349022,2,2,0,66.42
SG-042,4,3.98,5,1,64.62,2,1,238363,2,0,2,54.99
SG-042,4,3.54,4,2,72.57,3,0,273291,0,0,0,39.55
SG-042,5,4.12,2,0,58.26,1,0,294285,2,1,1,64.3
SG-042,0,3.88,3,1,70.93,0,0,309736,0,0,0,5.81
SG-042,3,4.26,2,2,66.55,2,1,291977,0,0,0,41.98
SG-042,3,3.94,4,0,57.0,3,0,231447,1,1,0,61.95
SG-042,3,4.6,4,2,62.43,4,1,166005,3,1,2,82.23
SG-042,3,4.59,1,0,45.19,1,1,306040,1,0,1,48.68
SG-042,0,3.71,3,1,63.62,2,2,289698,2,1,1,47.28
SG-042,3,3.81,4,1,62.17,2,1,322955,0,0,0,40.97
SG-042,1,2.04,2,2,55.72,2,2,350554,1,1,0,53.22
SG-042,3,3.08,2,0,50.89,2,2,372331,0,0,0,44.34
SG-042,2,4.0,3,0,65.43,1,0,217736,0,0,0,34.4
SG-042,3,3.9,3,2,55.26,1,2,258636,2,1,1,66.73
SG-042,3,3.91,5,3,58.56,2,2,230150,1,1,0,64.11
SG-042,3,3.09,1,0,49.06,2,1,384323,2,0,2,52.38
SG-042,3,3.39,3,1,62.95,2,2,213737,1,1,0,61.05
SG-042,3,4.67,3,1,57.55,2,0,300839,0,0,0,41.5
SG-042,4,3.93,3,1,55.53,3,0,258407,0,0,0,44.6
SG-042,5,4.3,2,0,34.28,1,3,301093,0,0,0,53.06
SG-042,1,3.46,3,1,64.33,2,2,238864,2,2,0,69.47
SG-042,2,3.05,4,1,69.23,2,2,284284,1,1,0,56.56
SG-042,3,3.01,3,1,45.47,3,0,340589,0,0,0,40.95
SG-042,1,3.09,3,1,55.97,2,1,221127,2,1,1,59.58
SG-042,3,4.06,3,3,57.3,2,0,219813,0,0,0,38.99
SG-042,3,3.9,3,0,65.2,3,1,240828,2,1,1,71.78
SG-042,1,3.62,3,0,59.52,1,2,346136,1,1,0,57.0
SG-042,0,2.86,3,0,63.72,4,0,230605,1,1,0,44.0
SG-042,2,3.84,5,0,47.75,2,0,322018,1,0,1,43.73
SG-042,4,3.27,4,0,52.91,3,2,301825,0,0,0,50.93
SG-042,2,3.83,2,1,51.55,1,2,290387,0,0,0,41.38
SG-042,2,3.69,3,1,61.77,1,1,352490,0,0,0,34.74
SG-042,5,5.0,3,0,55.52,2,1,215318,2,1,1,76.0
SG-042,1,4.16,5,1,55.3,2,2,181121,1,1,0,62.21
SG-042,5,3.55,5,0,62.7,2,0,286828,2,1,1,65.91
SG-042,1,3.66,2,1,57.35,0,0,303707,0,0,0,25.7
SG-042,4,3.86,2,0,64.69,2,3,300278,1,1,0,71.41
SG-042,4,4.11,4,1,54.52,2,2,360010,1,1,0,67.56
SG-042,3,3.5,4,0,51.39,1,0,223614,0,0,0,34.1
SG-042,4,3.5,2,1,66.39,1,0,307944,1,1,0,50.62
SG-042,3,4.16,2,1,56.31,1,0,314990,1,0,1,41.61
SG-042,3,4.46,1,0,50.62,3,1,319509,0,0,0,50.13
SG-042,4,3.71,4,1,60.23,2,2,321708,0,0,0,46.74
SG-042,4,4.5,2,0,58.79,3,3,305603,1,0,1,62.1
SG-042,3,3.46,2,3,72.28,3,0,324368,2,1,1,61.48
SG-042,4,4.11,4,2,60.73,0,1,246187,0,0,0,36.32
SG-042,5,4.62,3,2,58.1,2,0,298993,1,0,1,50.78
SG-042,3,3.61,5,2,58.09,2,1,265759,0,0,0,40.94
SG-042,2,2.79,4,1,43.71,2,2,335681,2,1,1,66.58
SG-042,2,2.91,3,1,68.3,3,1,208071,1,1,0,56.16
SG-042,3,3.27,3,1,52.98,2,1,290523,1,0,1,46.54
SG-042,2,4.68,2,0,43.11,2,1,270484,2,0,2,57.26
SG-042,3,4.76,2,1,51.98,1,1,356083,3,1,2,73.0
SG-042,5,3.69,5,1,59.05,2,4,324161,0,0,0,52.69
SG-042,3,3.33,4,1,60.23,2,1,300543,0,0,0,39.34
SG-042,2,2.66,3,1,52.45,3,0,254455,0,0,0,36.28
SG-042,3,2.96,4,1,42.86,0,1,264758,1,1,0,51.26
